Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,32.759998,32.880001,32.029999,32.259998,30.914936,3518900
2019-01-03,32.220001,33.080002,32.090000,32.660000,31.298265,3312900
2019-01-04,32.619999,33.110001,32.380001,32.840000,31.470758,2520400
2019-01-07,32.730000,33.900002,32.430000,33.689999,32.285316,3543600
2019-01-08,33.340000,33.750000,33.080002,33.590000,32.527409,2296900
2019-01-09,33.580002,34.490002,33.419998,34.180000,33.098747,3916700
2019-01-10,33.959999,34.590000,33.750000,34.480000,33.389252,3034400
2019-01-11,34.570000,35.130001,34.279999,35.040001,33.931541,2341200
2019-01-14,34.849998,35.290001,34.650002,35.040001,33.931541,2298200
2019-01-15,34.939999,35.599998,34.799999,35.529999,34.406040,3292900
2019-01-16,35.360001,35.759998,35.160000,35.279999,34.163948,3766200
2019-01-17,35.310001,35.950001,35.139999,35.779999,34.648129,3095600
2019-01-18,35.650002,35.810001,35.320000,35.490002,34.367306,2292300
2019-01-22,35.299999,35.410000,34.700001,35.389999,34.270470,2959700
2019-01-23,35.450001,35.599998,34.830002,35.380001,34.260788,2507400
2019-01-24,34.810001,35.169998,34.259998,34.720001,33.621670,2253000
2019-01-25,34.860001,35.150002,34.189999,34.240002,33.156849,2548600
2019-01-28,34.169998,34.700001,34.090000,34.610001,33.515141,2196700
2019-01-29,34.599998,34.799999,34.259998,34.490002,33.398941,1737300
2019-01-30,34.480000,35.110001,34.279999,34.889999,33.786285,2202300
2019-01-31,34.919998,35.470001,34.759998,35.430000,34.309204,2984600
2019-02-01,35.560001,35.560001,34.889999,35.009998,33.902489,2334900
2019-02-04,35.020000,35.290001,34.730000,35.009998,33.902489,2310000
2019-02-05,35.009998,35.299999,34.650002,34.959999,33.854069,2563500
2019-02-06,35.000000,35.160000,34.169998,34.189999,33.108429,2612700
2019-02-07,33.680000,34.380001,33.450001,34.200001,33.118114,3213000
2019-02-08,34.060001,34.400002,34.060001,34.290001,33.205265,1660500
2019-02-11,34.349998,34.650002,33.849998,34.160000,33.079376,2357000
2019-02-12,34.220001,34.869999,34.080002,34.560001,33.466724,1733000
2019-02-13,34.610001,34.810001,34.470001,34.660000,33.563560,1619100
2019-02-14,34.500000,34.660000,34.200001,34.450001,33.360203,1900700
2019-02-15,34.730000,35.110001,34.660000,34.790001,33.689445,2533900
2019-02-19,34.830002,35.320000,34.630001,35.009998,33.902489,1893200
2019-02-20,34.980000,35.500000,34.860001,35.180000,34.067112,2615600
2019-02-21,35.160000,35.560001,34.919998,35.439999,34.318882,2282600
2019-02-22,33.770000,34.029999,32.259998,32.830002,31.791452,7744500
2019-02-25,32.959999,33.090000,32.169998,32.259998,31.239479,4093000
2019-02-26,32.849998,33.349998,32.669998,32.910000,31.868917,6314300
2019-02-27,34.049999,36.490002,33.160000,36.209999,35.064529,11371400
2019-02-28,36.209999,36.430000,35.230000,36.020000,34.880539,5971900
2019-03-01,36.000000,36.500000,35.580002,36.349998,35.200100,4167600
2019-03-04,36.380001,36.500000,35.380001,36.000000,34.861172,2851200
2019-03-05,36.000000,36.200001,35.730000,36.099998,34.958004,2331000
2019-03-06,36.099998,36.240002,35.849998,36.139999,34.996742,1875300
2019-03-07,36.160000,36.290001,35.730000,35.919998,34.783703,1711600
2019-03-08,35.980000,36.049999,35.599998,36.020000,34.880539,1754000
2019-03-11,35.930000,36.090000,35.549999,35.900002,34.764336,2141800
2019-03-12,35.919998,35.939999,35.029999,35.049999,33.941227,2387200
2019-03-13,35.099998,35.570000,35.029999,35.270000,34.154263,1879000
2019-03-14,35.369999,35.799999,35.279999,35.639999,34.512562,1939900
2019-03-15,35.639999,36.160000,35.590000,36.009998,34.870853,3569800
2019-03-18,36.060001,36.669998,36.040001,36.560001,35.403458,2055900
2019-03-19,36.520000,36.730000,36.150002,36.299999,35.151680,1587600
2019-03-20,36.389999,36.709999,36.279999,36.320000,35.171051,2046900
2019-03-21,36.520000,37.930000,36.189999,37.860001,36.662334,2709500
2019-03-22,37.740002,38.369999,37.709999,38.240002,37.030308,2796700
2019-03-25,38.200001,38.340000,37.869999,38.279999,37.069046,2059600
2019-03-26,38.389999,38.840000,38.220001,38.520000,37.301453,1791000
2019-03-27,38.369999,38.549999,37.740002,37.950001,36.749485,1863300
2019-03-28,38.020000,38.529999,37.930000,38.299999,37.088413,1194400
2019-03-29,38.330002,38.450001,37.770000,38.130001,36.923790,1931700
2019-04-01,38.040001,38.090000,37.520000,37.849998,36.652645,2194200
2019-04-02,37.910000,38.080002,37.490002,37.619999,36.429924,1157900
2019-04-03,37.619999,37.669998,37.180000,37.250000,36.071625,1705200
2019-04-04,37.360001,37.549999,37.270000,37.450001,36.265301,1174500
2019-04-05,37.520000,38.290001,37.520000,38.259998,37.049675,1883800
2019-04-08,38.189999,38.790001,38.119999,38.529999,37.311138,2522900
2019-04-09,38.459999,39.810001,38.459999,39.490002,38.240772,5173300
2019-04-10,39.189999,39.570000,38.910000,39.130001,38.230999,2936200
2019-04-11,39.259998,39.869999,39.189999,39.660000,38.748821,2410200
2019-04-12,39.540001,39.959999,39.470001,39.810001,38.895378,2268400
2019-04-15,39.540001,40.220001,39.540001,39.840000,38.924690,2111800
2019-04-16,39.840000,39.980000,39.380001,39.430000,38.524105,1557700
2019-04-17,39.590000,39.700001,39.080002,39.130001,38.230999,1542900
2019-04-18,39.209999,39.599998,39.099998,39.389999,38.485023,1573100
2019-04-22,39.419998,39.580002,39.160000,39.320000,38.416637,1416900
2019-04-23,39.270000,39.500000,38.779999,38.900002,38.006287,1627600
2019-04-24,39.040001,39.490002,38.750000,39.000000,38.103981,1679500
2019-04-25,38.869999,38.869999,38.119999,38.180000,37.302826,2273900
2019-04-26,38.240002,38.660000,38.090000,38.639999,37.752258,1568100
2019-04-29,38.630001,38.730000,38.240002,38.340000,37.459148,1574500
